10/11/2024 9:10:58 p. m. - Algorithm: StrassenNaiv, Time: 1 ms, Matrix A: 2x2, Matrix B: 2x2
10/11/2024 9:10:58 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 4x4, Matrix B: 4x4
10/11/2024 9:10:58 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 8x8, Matrix B: 8x8
10/11/2024 9:10:58 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 16x16, Matrix B: 16x16
10/11/2024 9:10:58 p. m. - Algorithm: StrassenNaiv, Time: 7 ms, Matrix A: 32x32, Matrix B: 32x32
10/11/2024 9:10:59 p. m. - Algorithm: StrassenNaiv, Time: 51 ms, Matrix A: 64x64, Matrix B: 64x64
10/11/2024 9:10:59 p. m. - Algorithm: StrassenNaiv, Time: 356 ms, Matrix A: 128x128, Matrix B: 128x128
10/11/2024 9:11:01 p. m. - Algorithm: StrassenNaiv, Time: 2506 ms, Matrix A: 256x256, Matrix B: 256x256
10/11/2024 9:11:24 p. m. - Algorithm: StrassenNaiv, Time: 9 ms, Matrix A: 2x2, Matrix B: 2x2
10/11/2024 9:11:24 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 4x4, Matrix B: 4x4
10/11/2024 9:11:24 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 8x8, Matrix B: 8x8
10/11/2024 9:11:24 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 16x16, Matrix B: 16x16
10/11/2024 9:11:24 p. m. - Algorithm: StrassenNaiv, Time: 10 ms, Matrix A: 32x32, Matrix B: 32x32
10/11/2024 9:11:24 p. m. - Algorithm: StrassenNaiv, Time: 47 ms, Matrix A: 64x64, Matrix B: 64x64
10/11/2024 9:11:25 p. m. - Algorithm: StrassenNaiv, Time: 389 ms, Matrix A: 128x128, Matrix B: 128x128
10/11/2024 9:11:27 p. m. - Algorithm: StrassenNaiv, Time: 2455 ms, Matrix A: 256x256, Matrix B: 256x256
10/11/2024 9:13:06 p. m. - Algorithm: StrassenNaiv, Time: 6 ms, Matrix A: 2x2, Matrix B: 2x2
10/11/2024 9:13:06 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 4x4, Matrix B: 4x4
10/11/2024 9:13:06 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 8x8, Matrix B: 8x8
10/11/2024 9:13:06 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 16x16, Matrix B: 16x16
10/11/2024 9:13:06 p. m. - Algorithm: StrassenNaiv, Time: 8 ms, Matrix A: 32x32, Matrix B: 32x32
10/11/2024 9:13:06 p. m. - Algorithm: StrassenNaiv, Time: 44 ms, Matrix A: 64x64, Matrix B: 64x64
10/11/2024 9:13:06 p. m. - Algorithm: StrassenNaiv, Time: 316 ms, Matrix A: 128x128, Matrix B: 128x128
10/11/2024 9:13:09 p. m. - Algorithm: StrassenNaiv, Time: 2413 ms, Matrix A: 256x256, Matrix B: 256x256
10/11/2024 9:14:55 p. m. - Algorithm: StrassenNaiv, Time: 1 ms, Matrix A: 2x2, Matrix B: 2x2
10/11/2024 9:14:55 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 4x4, Matrix B: 4x4
10/11/2024 9:14:55 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 8x8, Matrix B: 8x8
10/11/2024 9:14:55 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 16x16, Matrix B: 16x16
10/11/2024 9:14:55 p. m. - Algorithm: StrassenNaiv, Time: 8 ms, Matrix A: 32x32, Matrix B: 32x32
10/11/2024 9:14:56 p. m. - Algorithm: StrassenNaiv, Time: 46 ms, Matrix A: 64x64, Matrix B: 64x64
10/11/2024 9:14:56 p. m. - Algorithm: StrassenNaiv, Time: 322 ms, Matrix A: 128x128, Matrix B: 128x128
10/11/2024 9:14:58 p. m. - Algorithm: StrassenNaiv, Time: 2504 ms, Matrix A: 256x256, Matrix B: 256x256
10/11/2024 9:16:54 p. m. - Algorithm: StrassenNaiv, Time: 1 ms, Matrix A: 2x2, Matrix B: 2x2
10/11/2024 9:16:54 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 4x4, Matrix B: 4x4
10/11/2024 9:16:54 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 8x8, Matrix B: 8x8
10/11/2024 9:16:54 p. m. - Algorithm: StrassenNaiv, Time: 1 ms, Matrix A: 16x16, Matrix B: 16x16
10/11/2024 9:16:54 p. m. - Algorithm: StrassenNaiv, Time: 8 ms, Matrix A: 32x32, Matrix B: 32x32
10/11/2024 9:16:54 p. m. - Algorithm: StrassenNaiv, Time: 45 ms, Matrix A: 64x64, Matrix B: 64x64
10/11/2024 9:16:54 p. m. - Algorithm: StrassenNaiv, Time: 332 ms, Matrix A: 128x128, Matrix B: 128x128
10/11/2024 9:16:57 p. m. - Algorithm: StrassenNaiv, Time: 2492 ms, Matrix A: 256x256, Matrix B: 256x256
10/11/2024 9:18:15 p. m. - Algorithm: StrassenNaiv, Time: 1 ms, Matrix A: 2x2, Matrix B: 2x2
10/11/2024 9:18:15 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 4x4, Matrix B: 4x4
10/11/2024 9:18:15 p. m. - Algorithm: StrassenNaiv, Time: 0 ms, Matrix A: 8x8, Matrix B: 8x8
10/11/2024 9:18:15 p. m. - Algorithm: StrassenNaiv, Time: 1 ms, Matrix A: 16x16, Matrix B: 16x16
10/11/2024 9:18:15 p. m. - Algorithm: StrassenNaiv, Time: 8 ms, Matrix A: 32x32, Matrix B: 32x32
10/11/2024 9:18:15 p. m. - Algorithm: StrassenNaiv, Time: 46 ms, Matrix A: 64x64, Matrix B: 64x64
10/11/2024 9:18:16 p. m. - Algorithm: StrassenNaiv, Time: 328 ms, Matrix A: 128x128, Matrix B: 128x128
10/11/2024 9:18:18 p. m. - Algorithm: StrassenNaiv, Time: 2505 ms, Matrix A: 256x256, Matrix B: 256x256
